index,name
0,Actinidia chinensis var. setosa 台灣羊桃
1,Adiantum capillus-veneris 鐵線蕨
2,Agapanthus africanus 百子蓮
3,Agave americana var. variegata 黃斑龍舌蘭
4,Agave sisalana 瓊麻
5,Aglaia odorata 樹蘭
6,Aglaonema modestum 粗肋草
7,Alcea rosea 蜀葵
8,Aleurites montanus 廣東油桐
9,Alocasia odora 姑婆芋
10,Anemone vitifolia 小白頭翁
11,Angiopteris lygodiifolia 觀音座蓮
12,Anredera cordifolia 洋落葵
13,Anthemis nobilis 羅馬洋甘菊
14,Anthurium andraeanum 花燭
15,Antigonon leptopus 珊瑚藤
16,Antirrhinum majus 金魚草
17,Aptenia cordifolia 花蔓草
18,Ardisia crenata 珠砂根
19,Ardisia squamulosa 春不老
20,Areca catechu 檳榔
21,Arthropteris palisotii 藤蕨
22,Artocarpus incisus 麵包樹
23,Asparagus densiflorus var. sprengeri 武竹
24,Asparagus setaceus 文竹
25,Averrhoa carambola 楊桃
26,Bauhinia ×blakeana 豔紫荊
27,Begonia formosana 水鴨腳
28,Bidens alba var. radiata 大花咸豐草
29,Bougainvillea spectabilis 九重葛
30,Brassica campestris var. amplexicaulis 油菜
31,Bretschneidera sinensis 鐘萼木
32,Broussonetia papyrifera 構樹
33,Brugmansia suaveolens 大花曼陀羅
34,Brunfelsia uniflora 變色茉莉
35,Caladium ×hortulanum 彩葉芋
36,Calendula officinalis 金盞花
37,Calophyllum inophyllum 瓊崖海棠
38,Calyptocarpus vialis金腰箭舅
39,Camellia japonica 日本山茶
40,Camellia sinensis 茶
41,Canna indica var. orientalis 美人蕉
42,Capsicum annuum var. grossum 甜椒
43,Capsicum annuum 辣椒
44,Capsicum frutescens var. conoides 朝天椒
45,Cardiospermum halicacabum 倒地鈴
46,Carica papaya 木瓜
47,Casuarina equisetifolia 木麻黃
48,Celosia argentea 青葙
49,Celosia cristata 雞冠花
50,Chlorophytum comosum 吊蘭
51,Chrysanthemum frutescens 瑪格麗特
52,Citrus grandis 柚
53,Citrus limon 檸檬
54,Citrus ponki 柑橘
55,Clausena excavata 過山香
56,Clematis grata 串鼻龍
57,Clitoria ternatea 蝶豆
58,Coccoloba uvifera 海葡萄
59,Codiaeum variegatum 變葉木
60,Coffea arabica 咖啡樹
61,Cordyline fruticosa 朱蕉
62,Cosmos bipinnatus 大波斯菊
63,Crassocephalum crepidioides 昭和草
64,Crinum asiaticum 文珠蘭
65,Crotalaria juncea 太陽麻
66,Cynoglossum furcatum 琉璃草
67,Cyperus prolifer 紙莎草
68,Dianella ensifolia 桔梗蘭
69,Dichondra micrantha 馬蹄金
70,Dieffenbachia maculata 黛粉葉
71,Digitalis purpurea 毛地黃
72,Dillenia indica 第倫桃
73,Dipteris conjugata 雙扇蕨
74,Drimiopsis kirkii 油點百合
